ticket_id,ticket_text,category
TKT-100169,Payment gateway returned error in mobile application,Payment Failure
TKT-100170,Unable to complete customer verification after retrying multiple times,KYC Verification
TKT-100171,Unrecognized transaction in statement during checkout,Fraud Alert
TKT-100172,Subscription cancelled unexpectedly while using net banking,Subscription Issue
TKT-100173,Amount debited but booking failed on web portal,Payment Failure
TKT-100174,PAN verification unsuccessful while using net banking,KYC Verification
TKT-100175,Unable to login after password reset for international transaction,Account Locked
TKT-100176,Card charged twice for same purchase for international transaction,Payment Failure
TKT-100177,Access denied after security check after latest update,Account Locked
TKT-100178,Credit card payment unsuccessful for international transaction,Payment Failure
TKT-100179,API authentication failed while using net banking,API Failure
TKT-100180,Invalid response from backend API for international transaction,API Failure
TKT-100181,Subscription cancelled unexpectedly in mobile application,Subscription Issue
TKT-100182,Refund delayed for failed transaction since morning,Refund Request
TKT-100183,Payment gateway returned error during checkout,Payment Failure
TKT-100184,Refund not received after cancellation since morning,Refund Request
TKT-100185,Unknown device accessed account since morning,Fraud Alert
TKT-100186,User account temporarily suspended after latest update,Account Locked
TKT-100187,UPI transaction still processing during peak traffic,Transaction Delay
TKT-100188,Unrecognized transaction in statement in mobile application,Fraud Alert
TKT-100189,Webhook endpoint not responding during peak traffic,API Failure
TKT-100190,Need refund for duplicate payment in mobile application,Refund Request
TKT-100191,Refund not received after cancellation in mobile application,Refund Request
TKT-100192,Unable to complete customer verification during checkout,KYC Verification
TKT-100193,Refund status not updated for last 2 hours,Refund Request
TKT-100194,Unable to renew premium subscription during peak traffic,Subscription Issue
TKT-100195,Payment gateway returned error after retrying multiple times,Payment Failure
TKT-100196,KYC documents under review for last 2 hours,KYC Verification
TKT-100197,API returning 500 internal server error for international transaction,API Failure
TKT-100198,UPI transaction still processing for international transaction,Transaction Delay
TKT-100199,Request failing with status code 503 after latest update,API Failure
TKT-100200,PAN verification unsuccessful after retrying multiple times,KYC Verification
TKT-100201,Billing issue for subscription plan while using net banking,Subscription Issue
TKT-100202,Address proof not accepted on web portal,KYC Verification
TKT-100203,Suspicious debit from unknown merchant in mobile application,Fraud Alert
TKT-100204,Money transfer delayed unexpectedly while using net banking,Transaction Delay
TKT-100205,KYC documents under review since morning,KYC Verification
TKT-100206,Delayed settlement for bank transfer after latest update,Transaction Delay
TKT-100207,Money transfer delayed unexpectedly on web portal,Transaction Delay
TKT-100208,Premium features inaccessible in mobile application,Subscription Issue
TKT-100209,Subscription upgrade not reflecting after retrying multiple times,Subscription Issue
TKT-100210,Suspicious debit from unknown merchant during checkout,Fraud Alert
TKT-100211,Verification process stuck after retrying multiple times,KYC Verification
TKT-100212,Unrecognized transaction in statement while using net banking,Fraud Alert
TKT-100213,Bank transfer taking too long for last 2 hours,Transaction Delay
TKT-100214,Plan benefits not activated for international transaction,Subscription Issue
TKT-100215,Possible phishing attempt reported during peak traffic,Fraud Alert
TKT-100216,Request failing with status code 503 after retrying multiple times,API Failure
TKT-100217,Frequent API connection resets after retrying multiple times,API Failure
TKT-100218,Invalid response from backend API while using net banking,API Failure
TKT-100219,Auto renewal not working in mobile application,Subscription Issue
TKT-100220,Suspicious debit from unknown merchant during checkout,Fraud Alert
TKT-100221,Gateway timeout while calling payment API after retrying multiple times,API Failure
TKT-100222,User account temporarily suspended during checkout,Account Locked
TKT-100223,Transaction confirmation not received during peak traffic,Transaction Delay
TKT-100224,Unable to renew premium subscription during checkout,Subscription Issue
TKT-100225,Plan benefits not activated on web portal,Subscription Issue
TKT-100226,Login blocked after suspicious activity since morning,Account Locked
TKT-100227,Login blocked after suspicious activity since morning,Account Locked
TKT-100228,Credit card payment unsuccessful after latest update,Payment Failure
TKT-100229,UPI transaction still processing since morning,Transaction Delay
TKT-100230,Billing issue for subscription plan while using net banking,Subscription Issue
TKT-100231,Delayed settlement for bank transfer after latest update,Transaction Delay
TKT-100232,Credit card payment unsuccessful while using net banking,Payment Failure
TKT-100233,Waiting for refund since last week for international transaction,Refund Request
TKT-100234,UPI transaction still processing during peak traffic,Transaction Delay
TKT-100235,Transaction failed but money debited after latest update,Payment Failure
TKT-100236,Unable to renew premium subscription during checkout,Subscription Issue
TKT-100237,Incorrect refund amount received during peak traffic,Refund Request
TKT-100238,Fraudulent transfer detected while using net banking,Fraud Alert
TKT-100239,Transaction confirmation not received during peak traffic,Transaction Delay
TKT-100240,Address proof not accepted during peak traffic,KYC Verification
TKT-100241,Card charged twice for same purchase during checkout,Payment Failure
TKT-100242,Possible phishing attempt reported for last 2 hours,Fraud Alert
TKT-100243,User account temporarily suspended after latest update,Account Locked
TKT-100244,Need refund for duplicate payment since morning,Refund Request
TKT-100245,Verification process stuck during peak traffic,KYC Verification
TKT-100246,Transaction confirmation not received since morning,Transaction Delay
TKT-100247,Possible phishing attempt reported in mobile application,Fraud Alert
TKT-100248,UPI transaction still processing during checkout,Transaction Delay
TKT-100249,Plan benefits not activated for international transaction,Subscription Issue
TKT-100250,Refund status not updated after latest update,Refund Request
TKT-100251,Subscription payment failed for last 2 hours,Subscription Issue
TKT-100252,Transaction failed but money debited in mobile application,Payment Failure
TKT-100253,Billing issue for subscription plan for last 2 hours,Subscription Issue
TKT-100254,Transaction confirmation not received for international transaction,Transaction Delay
TKT-100255,Billing issue for subscription plan while using net banking,Subscription Issue
TKT-100256,Refund not received after cancellation for international transaction,Refund Request
TKT-100257,Service unavailable during API request since morning,API Failure
TKT-100258,Refund status not updated during peak traffic,Refund Request
TKT-100259,Credit card payment unsuccessful during peak traffic,Payment Failure
TKT-100260,Transaction failed but money debited while using net banking,Payment Failure
TKT-100261,Transaction confirmation not received after latest update,Transaction Delay
TKT-100262,Verification process stuck for last 2 hours,KYC Verification
TKT-100263,Delayed settlement for bank transfer for international transaction,Transaction Delay
TKT-100264,Invalid response from backend API for last 2 hours,API Failure
TKT-100265,Forgot password link expired for international transaction,Account Locked
TKT-100266,Transaction confirmation not received for international transaction,Transaction Delay
TKT-100267,Online payment not processing for last 2 hours,Payment Failure
TKT-100268,Service unavailable during API request on web portal,API Failure
TKT-100269,Incorrect refund amount received after retrying multiple times,Refund Request
TKT-100270,Online payment not processing for international transaction,Payment Failure
TKT-100271,Unable to complete payment via UPI after retrying multiple times,Payment Failure
TKT-100272,Request failing with status code 503 while using net banking,API Failure
TKT-100273,Unable to complete payment via UPI in mobile application,Payment Failure
TKT-100274,Login blocked after suspicious activity while using net banking,Account Locked
TKT-100275,UPI transaction still processing since morning,Transaction Delay
TKT-100276,Received fraud alert notification in mobile application,Fraud Alert
TKT-100277,Amount debited but booking failed for last 2 hours,Payment Failure
TKT-100278,Suspicious debit from unknown merchant while using net banking,Fraud Alert
TKT-100279,Need refund for duplicate payment while using net banking,Refund Request
TKT-100280,Auto renewal not working for international transaction,Subscription Issue
TKT-100281,Fund transfer processing slowly during checkout,Transaction Delay
TKT-100282,Payment stuck in pending state for international transaction,Transaction Delay
TKT-100283,Received fraud alert notification for last 2 hours,Fraud Alert
TKT-100284,Subscription cancelled unexpectedly on web portal,Subscription Issue
TKT-100285,Subscription upgrade not reflecting in mobile application,Subscription Issue
TKT-100286,Billing issue for subscription plan after latest update,Subscription Issue
TKT-100287,Fund transfer processing slowly on web portal,Transaction Delay
TKT-100288,Frequent API connection resets while using net banking,API Failure
TKT-100289,API authentication failed during checkout,API Failure
TKT-100290,Identity verification rejected for international transaction,KYC Verification
TKT-100291,Payment gateway returned error while using net banking,Payment Failure
TKT-100292,Unable to complete customer verification after latest update,KYC Verification
TKT-100293,Bank transfer taking too long after latest update,Transaction Delay
TKT-100294,Gateway timeout while calling payment API while using net banking,API Failure
TKT-100295,Refund delayed for failed transaction since morning,Refund Request
TKT-100296,Authentication failed repeatedly after latest update,Account Locked
TKT-100297,Refund delayed for failed transaction in mobile application,Refund Request
TKT-100298,Frequent API connection resets for last 2 hours,API Failure
TKT-100299,Frequent API connection resets on web portal,API Failure
TKT-100300,Bank transfer taking too long during peak traffic,Transaction Delay
TKT-100301,Refund status not updated in mobile application,Refund Request
TKT-100302,Suspicious debit from unknown merchant for international transaction,Fraud Alert
TKT-100303,Waiting for refund since last week while using net banking,Refund Request
TKT-100304,Login blocked after suspicious activity since morning,Account Locked
TKT-100305,Payment gateway returned error since morning,Payment Failure
TKT-100306,Premium features inaccessible on web portal,Subscription Issue
TKT-100307,PAN verification unsuccessful during checkout,KYC Verification
TKT-100308,PAN verification unsuccessful after latest update,KYC Verification
TKT-100309,Account locked due to multiple failed attempts during peak traffic,Account Locked
TKT-100310,Identity verification rejected while using net banking,KYC Verification
TKT-100311,User account temporarily suspended while using net banking,Account Locked
TKT-100312,Billing issue for subscription plan in mobile application,Subscription Issue
TKT-100313,Online payment not processing in mobile application,Payment Failure
TKT-100314,Account locked due to multiple failed attempts while using net banking,Account Locked
TKT-100315,Service unavailable during API request for international transaction,API Failure
TKT-100316,Billing issue for subscription plan in mobile application,Subscription Issue
TKT-100317,Fraudulent transfer detected while using net banking,Fraud Alert
TKT-100318,Refund status not updated for international transaction,Refund Request
TKT-100319,Service unavailable during API request in mobile application,API Failure
TKT-100320,Amount debited but booking failed in mobile application,Payment Failure
TKT-100321,Payment deducted but order not confirmed during peak traffic,Payment Failure
TKT-100322,Transaction confirmation not received during checkout,Transaction Delay
TKT-100323,API authentication failed during checkout,API Failure
TKT-100324,Subscription payment failed for last 2 hours,Subscription Issue
TKT-100325,Credit card payment unsuccessful while using net banking,Payment Failure
TKT-100326,Payment gateway returned error after latest update,Payment Failure
TKT-100327,Cancelled order but refund pending on web portal,Refund Request
TKT-100328,PAN verification unsuccessful during checkout,KYC Verification
TKT-100329,Forgot password link expired after retrying multiple times,Account Locked
TKT-100330,Subscription payment failed in mobile application,Subscription Issue
TKT-100331,Transaction confirmation not received on web portal,Transaction Delay
TKT-100332,Refund delayed for failed transaction for last 2 hours,Refund Request
TKT-100333,User account temporarily suspended for international transaction,Account Locked
TKT-100334,Gateway timeout while calling payment API for international transaction,API Failure
TKT-100335,Credit card payment unsuccessful after retrying multiple times,Payment Failure
TKT-100336,Refund delayed for failed transaction on web portal,Refund Request
TKT-100337,Subscription cancelled unexpectedly on web portal,Subscription Issue
TKT-100338,Refund status not updated while using net banking,Refund Request
TKT-100339,Payment gateway returned error during peak traffic,Payment Failure
TKT-100340,Suspicious debit from unknown merchant while using net banking,Fraud Alert
TKT-100341,Subscription cancelled unexpectedly for last 2 hours,Subscription Issue
TKT-100342,Unable to login after password reset since morning,Account Locked
TKT-100343,Billing issue for subscription plan for last 2 hours,Subscription Issue
TKT-100344,Refund status not updated after retrying multiple times,Refund Request
TKT-100345,Authentication failed repeatedly while using net banking,Account Locked
TKT-100346,Frequent API connection resets during peak traffic,API Failure
TKT-100347,Authentication failed repeatedly for last 2 hours,Account Locked
TKT-100348,Pending payment not updated in mobile application,Transaction Delay
TKT-100349,Payment gateway returned error during checkout,Payment Failure
TKT-100350,Fund transfer processing slowly during checkout,Transaction Delay
TKT-100351,Gateway timeout while calling payment API on web portal,API Failure
TKT-100352,API returning 500 internal server error for international transaction,API Failure
TKT-100353,Plan benefits not activated for last 2 hours,Subscription Issue
TKT-100354,UPI transaction still processing during checkout,Transaction Delay
TKT-100355,Payment deducted but order not confirmed on web portal,Payment Failure
TKT-100356,Received fraud alert notification during peak traffic,Fraud Alert
TKT-100357,Suspicious debit from unknown merchant after retrying multiple times,Fraud Alert
TKT-100358,Unknown device accessed account during checkout,Fraud Alert
TKT-100359,Webhook endpoint not responding during peak traffic,API Failure
TKT-100360,Credit card payment unsuccessful after latest update,Payment Failure
TKT-100361,Login blocked after suspicious activity after latest update,Account Locked
TKT-100362,Refund not received after cancellation after latest update,Refund Request
TKT-100363,Payment gateway returned error during checkout,Payment Failure
TKT-100364,API returning 500 internal server error after latest update,API Failure
TKT-100365,Subscription upgrade not reflecting after latest update,Subscription Issue
TKT-100366,Document upload failed during KYC for last 2 hours,KYC Verification
TKT-100367,Fund transfer processing slowly on web portal,Transaction Delay
TKT-100368,Refund delayed for failed transaction after retrying multiple times,Refund Request
TKT-100369,Unauthorized transaction detected after retrying multiple times,Fraud Alert
TKT-100370,Billing issue for subscription plan since morning,Subscription Issue
TKT-100371,Online payment not processing for international transaction,Payment Failure
TKT-100372,Document upload failed during KYC while using net banking,KYC Verification
TKT-100373,UPI transaction still processing for last 2 hours,Transaction Delay
TKT-100374,Webhook endpoint not responding for last 2 hours,API Failure
TKT-100375,Login blocked after suspicious activity during peak traffic,Account Locked
TKT-100376,Frequent API connection resets during peak traffic,API Failure
TKT-100377,Billing issue for subscription plan after retrying multiple times,Subscription Issue
TKT-100378,Document upload failed during KYC for last 2 hours,KYC Verification
TKT-100379,Fraudulent transfer detected while using net banking,Fraud Alert
TKT-100380,Fraudulent transfer detected on web portal,Fraud Alert
TKT-100381,Pending payment not updated for international transaction,Transaction Delay
TKT-100382,Refund initiated but not credited for international transaction,Refund Request
TKT-100383,Service unavailable during API request on web portal,API Failure
TKT-100384,Access denied after security check for last 2 hours,Account Locked
TKT-100385,Waiting for refund since last week for last 2 hours,Refund Request
TKT-100386,Document upload failed during KYC on web portal,KYC Verification
TKT-100387,Unable to login after password reset during peak traffic,Account Locked
TKT-100388,Gateway timeout while calling payment API for international transaction,API Failure
TKT-100389,Frequent API connection resets since morning,API Failure
TKT-100390,Auto renewal not working on web portal,Subscription Issue
TKT-100391,Refund status not updated after latest update,Refund Request
TKT-100392,Money transfer delayed unexpectedly for last 2 hours,Transaction Delay
TKT-100393,Invalid response from backend API for last 2 hours,API Failure
TKT-100394,Plan benefits not activated for international transaction,Subscription Issue
TKT-100395,Credit card payment unsuccessful since morning,Payment Failure
TKT-100396,Login blocked after suspicious activity in mobile application,Account Locked
TKT-100397,Invalid response from backend API since morning,API Failure
TKT-100398,OTP verification not working during peak traffic,Account Locked
TKT-100399,Document upload failed during KYC after latest update,KYC Verification
TKT-100400,Card charged twice for same purchase after retrying multiple times,Payment Failure
TKT-100401,Fraudulent transfer detected for international transaction,Fraud Alert
TKT-100402,Delayed settlement for bank transfer after latest update,Transaction Delay
TKT-100403,Service unavailable during API request on web portal,API Failure
TKT-100404,Refund not received after cancellation after latest update,Refund Request
TKT-100405,Unable to login after password reset for last 2 hours,Account Locked
TKT-100406,Billing issue for subscription plan for international transaction,Subscription Issue
TKT-100407,Fund transfer processing slowly for international transaction,Transaction Delay
TKT-100408,Plan benefits not activated after retrying multiple times,Subscription Issue
TKT-100409,Refund initiated but not credited for international transaction,Refund Request
TKT-100410,Cancelled order but refund pending during peak traffic,Refund Request
TKT-100411,Transaction confirmation not received since morning,Transaction Delay
TKT-100412,Fraudulent transfer detected during peak traffic,Fraud Alert
TKT-100413,Payment deducted but order not confirmed during checkout,Payment Failure
TKT-100414,Plan benefits not activated after latest update,Subscription Issue
TKT-100415,Auto renewal not working on web portal,Subscription Issue
TKT-100416,Refund not received after cancellation while using net banking,Refund Request
TKT-100417,PAN verification unsuccessful after latest update,KYC Verification
TKT-100418,Identity verification rejected after retrying multiple times,KYC Verification
TKT-100419,Gateway timeout while calling payment API for international transaction,API Failure
TKT-100420,Amount debited but booking failed since morning,Payment Failure
TKT-100421,UPI transaction still processing on web portal,Transaction Delay
TKT-100422,Unable to complete customer verification for international transaction,KYC Verification
TKT-100423,Unable to renew premium subscription for international transaction,Subscription Issue
TKT-100424,Payment gateway returned error after latest update,Payment Failure
TKT-100425,Delayed settlement for bank transfer for last 2 hours,Transaction Delay
TKT-100426,Document upload failed during KYC during checkout,KYC Verification
TKT-100427,Unable to complete customer verification after retrying multiple times,KYC Verification
TKT-100428,Incorrect refund amount received in mobile application,Refund Request
TKT-100429,API authentication failed on web portal,API Failure
TKT-100430,Account locked due to multiple failed attempts after retrying multiple times,Account Locked
TKT-100431,Refund status not updated on web portal,Refund Request
TKT-100432,Webhook endpoint not responding during checkout,API Failure
TKT-100433,Need refund for duplicate payment in mobile application,Refund Request
TKT-100434,Received fraud alert notification during peak traffic,Fraud Alert
TKT-100435,Account locked due to multiple failed attempts after latest update,Account Locked
TKT-100436,Fund transfer processing slowly during peak traffic,Transaction Delay
TKT-100437,Delayed settlement for bank transfer on web portal,Transaction Delay
TKT-100438,Access denied after security check for last 2 hours,Account Locked
TKT-100439,Fund transfer processing slowly in mobile application,Transaction Delay
TKT-100440,Subscription upgrade not reflecting on web portal,Subscription Issue
TKT-100441,Cancelled order but refund pending while using net banking,Refund Request
TKT-100442,Bank transfer taking too long since morning,Transaction Delay
TKT-100443,Service unavailable during API request for last 2 hours,API Failure
TKT-100444,Incorrect refund amount received while using net banking,Refund Request
TKT-100445,Online payment not processing during peak traffic,Payment Failure
TKT-100446,Card used without authorization during peak traffic,Fraud Alert
TKT-100447,Payment stuck in pending state since morning,Transaction Delay
TKT-100448,UPI transaction still processing on web portal,Transaction Delay
TKT-100449,Need refund for duplicate payment since morning,Refund Request
TKT-100450,Unrecognized transaction in statement while using net banking,Fraud Alert
TKT-100451,Forgot password link expired on web portal,Account Locked
TKT-100452,Subscription cancelled unexpectedly for international transaction,Subscription Issue
TKT-100453,API returning 500 internal server error on web portal,API Failure
TKT-100454,Refund initiated but not credited for last 2 hours,Refund Request
TKT-100455,Address proof not accepted in mobile application,KYC Verification
TKT-100456,Forgot password link expired for last 2 hours,Account Locked
TKT-100457,Forgot password link expired in mobile application,Account Locked
TKT-100458,PAN verification unsuccessful during peak traffic,KYC Verification
TKT-100459,Cancelled order but refund pending after retrying multiple times,Refund Request
TKT-100460,KYC documents under review after latest update,KYC Verification
