incident_title,affected_users,cpu_usage,error_rate,severity
Cache miss increase,1866,82,28,Medium
Login API timeout,10687,87,26,High
Authentication service outage,11903,95,43,Critical
Message queue backlog,4441,84,43,High
Backup delay detected,787,68,3,Low
Intermittent connection issues,8812,78,26,Medium
Production database down,26335,98,53,Critical
Regional service degradation,18423,94,36,High
Payment gateway unavailable,43625,98,68,Critical
Payment gateway unavailable,85012,86,42,Critical
Capacity report generated,0,9,0,Informational
Monitoring alert review,0,45,0,Informational
Routine maintenance notice,0,41,0,Informational
Memory usage elevated,1284,59,7,Low
Message queue backlog,17473,81,40,High
Monitoring alert review,0,25,0,Informational
Intermittent connection issues,6575,62,11,Medium
High error rate detected,15902,78,36,High
High error rate detected,12922,85,34,High
Elevated latency observed,4104,60,22,Medium
Message queue backlog,28619,89,56,High
Cache miss increase,3619,68,18,Medium
Routine maintenance notice,0,34,0,Informational
Memory usage elevated,1065,65,6,Low
Login API timeout,22842,75,28,High
Memory usage elevated,1721,71,1,Low
Memory usage elevated,190,59,7,Low
Authentication service outage,94235,95,47,Critical
SSL expires in 10 days,0,41,0,Informational
CPU threshold warning,1565,74,7,Low
SSL expires in 10 days,0,16,0,Informational
Disk usage warning,190,55,6,Low
Login API timeout,18253,75,42,High
Intermittent connection issues,5465,76,24,Medium
Memory usage elevated,984,44,5,Low
Monitoring alert review,0,10,0,Informational
Authentication service outage,17893,92,76,Critical
Cache miss increase,7856,61,21,Medium
Intermittent connection issues,9034,79,24,Medium
Message queue backlog,12833,86,32,High
Message queue backlog,6990,76,57,High
Intermittent connection issues,4141,58,23,Medium
Cache miss increase,9393,65,24,Medium
Search response degraded,4075,74,29,Medium
Backup delay detected,1902,51,1,Low
Monitoring alert review,0,33,0,Informational
High error rate detected,18882,75,47,High
Payment gateway unavailable,50889,95,85,Critical
Message queue backlog,15380,81,37,High
Intermittent connection issues,9225,77,24,Medium
Production database down,99734,85,88,Critical
Message queue backlog,25596,75,24,High
SSL expires in 10 days,0,34,0,Informational
Memory usage elevated,180,62,8,Low
Payment gateway unavailable,31674,91,47,Critical
Backup delay detected,396,35,9,Low
Backup delay detected,72,35,0,Low
Core API crash,64533,99,84,Critical
High error rate detected,25934,80,22,High
Backup delay detected,1855,39,7,Low
Backup delay detected,1675,52,0,Low
Login API timeout,6372,89,40,High
Memory usage elevated,1260,38,8,Low
Message queue backlog,22834,76,27,High
Login API timeout,22167,85,59,High
Memory usage elevated,109,37,6,Low
Payment gateway unavailable,89573,91,79,Critical
High error rate detected,5476,91,27,High
Capacity report generated,0,25,0,Informational
CPU threshold warning,1272,69,5,Low
Login API timeout,28542,86,32,High
Intermittent connection issues,7147,62,21,Medium
SSL expires in 10 days,0,11,0,Informational
Intermittent connection issues,4338,82,16,Medium
Core API crash,22068,99,55,Critical
Intermittent connection issues,4565,78,20,Medium
Backup delay detected,823,41,4,Low
Message queue backlog,18884,87,32,High
Production database down,47656,92,66,Critical
Login API timeout,18456,82,42,High
Memory usage elevated,1295,58,6,Low
Search response degraded,7980,65,18,Medium
Intermittent connection issues,6447,70,14,Medium
Cache miss increase,7498,71,27,Medium
Monitoring alert review,0,27,0,Informational
Elevated latency observed,8098,62,12,Medium
Routine maintenance notice,0,27,0,Informational
Payment gateway unavailable,16485,98,86,Critical
Payment gateway unavailable,35255,93,58,Critical
Regional service degradation,11475,76,49,High
Production database down,84446,95,87,Critical
Intermittent connection issues,1959,62,20,Medium
Authentication service outage,42843,92,92,Critical
Routine maintenance notice,0,39,0,Informational
Cache miss increase,7032,59,22,Medium
Cache miss increase,6588,65,5,Medium
Message queue backlog,17177,84,26,High
High error rate detected,25580,94,59,High
Search response degraded,8471,79,29,Medium
Regional service degradation,15102,92,35,High
Core API crash,77980,85,63,Critical
Cache miss increase,1931,64,9,Medium
Monitoring alert review,0,7,0,Informational
Login API timeout,10885,79,39,High
Memory usage elevated,986,35,0,Low
Message queue backlog,25776,92,45,High
CPU threshold warning,1340,66,7,Low
Authentication service outage,42995,96,69,Critical
Cache miss increase,8522,64,17,Medium
Memory usage elevated,1704,49,5,Low
Routine maintenance notice,0,31,0,Informational
Routine maintenance notice,0,20,0,Informational
Cache miss increase,5548,70,7,Medium
Cache miss increase,9214,73,20,Medium
Login API timeout,12149,81,27,High
Authentication service outage,93472,95,64,Critical
Search response degraded,6185,71,5,Medium
Login API timeout,21981,86,45,High
Monitoring alert review,0,32,0,Informational
Cache miss increase,7733,74,27,Medium
CPU threshold warning,1926,59,7,Low
SSL expires in 10 days,0,10,0,Informational
Backup delay detected,880,60,5,Low
CPU threshold warning,1939,39,9,Low
Message queue backlog,22811,95,49,High
Search response degraded,1676,63,6,Medium
Backup delay detected,979,70,9,Low
Elevated latency observed,9790,62,15,Medium
Memory usage elevated,169,43,5,Low
CPU threshold warning,1849,52,8,Low
Payment gateway unavailable,43543,99,42,Critical
Core API crash,70778,96,79,Critical
Disk usage warning,1730,64,7,Low
CPU threshold warning,97,71,2,Low
Disk usage warning,1716,52,0,Low
Elevated latency observed,6934,70,5,Medium
Intermittent connection issues,9008,73,21,Medium
High error rate detected,26025,86,33,High
Monitoring alert review,0,18,0,Informational
CPU threshold warning,793,39,2,Low
Monitoring alert review,0,13,0,Informational
Authentication service outage,40773,91,79,Critical
Memory usage elevated,1997,60,2,Low
Intermittent connection issues,1799,58,19,Medium
Monitoring alert review,0,36,0,Informational
Disk usage warning,784,54,9,Low
Elevated latency observed,1776,58,14,Medium
Production database down,28178,93,40,Critical
Cache miss increase,6528,81,13,Medium
Cache miss increase,9612,83,23,Medium
Cache miss increase,3203,65,27,Medium
Regional service degradation,11784,93,56,High
Cache miss increase,7552,61,19,Medium
Disk usage warning,598,69,2,Low
Search response degraded,1976,65,26,Medium
Login API timeout,18160,80,51,High
Memory usage elevated,876,69,4,Low
Capacity report generated,0,35,0,Informational
Memory usage elevated,1805,45,7,Low
Login API timeout,18178,81,24,High
CPU threshold warning,1910,66,5,Low
Search response degraded,840,83,28,Medium
Production database down,13697,85,53,Critical
Core API crash,50961,88,68,Critical
Search response degraded,984,80,7,Medium
Cache miss increase,1075,81,22,Medium
Message queue backlog,11155,85,35,High
Search response degraded,515,63,7,Medium
SSL expires in 10 days,0,5,0,Informational
Elevated latency observed,5150,55,13,Medium
Intermittent connection issues,7915,69,26,Medium
Login API timeout,11707,87,29,High
Cache miss increase,6990,65,10,Medium
Search response degraded,9338,69,6,Medium
Cache miss increase,7259,60,8,Medium
Production database down,22438,85,90,Critical
Core API crash,26949,97,41,Critical
Authentication service outage,65814,92,53,Critical
Search response degraded,6106,75,26,Medium
Production database down,86804,92,74,Critical
Message queue backlog,23869,95,54,High
Login API timeout,27807,86,38,High
Backup delay detected,1969,38,3,Low
Disk usage warning,636,56,7,Low
CPU threshold warning,432,55,4,Low
Cache miss increase,1242,80,5,Medium
Elevated latency observed,680,76,9,Medium
Backup delay detected,1416,47,7,Low
Search response degraded,8955,59,19,Medium
Message queue backlog,6880,89,47,High
Message queue backlog,16696,77,59,High
Core API crash,11492,93,94,Critical
CPU threshold warning,253,57,8,Low
Routine maintenance notice,0,29,0,Informational
Disk usage warning,546,63,0,Low
Disk usage warning,589,48,6,Low
SSL expires in 10 days,0,5,0,Informational
Disk usage warning,462,68,8,Low
Regional service degradation,19490,78,42,High
Cache miss increase,6937,70,23,Medium
Elevated latency observed,7705,76,29,Medium
Cache miss increase,5388,83,5,Medium
CPU threshold warning,1040,52,4,Low
Core API crash,90069,94,61,Critical
CPU threshold warning,298,49,9,Low
Regional service degradation,8387,94,54,High
SSL expires in 10 days,0,14,0,Informational
Cache miss increase,7468,74,26,Medium
Elevated latency observed,5411,57,23,Medium
Memory usage elevated,1565,72,5,Low
Core API crash,91358,95,87,Critical
Memory usage elevated,199,35,2,Low
CPU threshold warning,46,43,9,Low
Cache miss increase,7333,82,27,Medium
Intermittent connection issues,3531,65,20,Medium
CPU threshold warning,818,35,6,Low
Capacity report generated,0,26,0,Informational
High error rate detected,13184,82,35,High
High error rate detected,7397,81,47,High
Search response degraded,9571,76,11,Medium
Production database down,77816,93,88,Critical
High error rate detected,8456,95,27,High
Search response degraded,4949,68,11,Medium
Payment gateway unavailable,53334,86,92,Critical
Memory usage elevated,991,70,1,Low
Login API timeout,10958,81,50,High
Monitoring alert review,0,45,0,Informational
Capacity report generated,0,49,0,Informational
Capacity report generated,0,8,0,Informational
Message queue backlog,11220,79,42,High
Core API crash,86122,96,73,Critical
Intermittent connection issues,2070,57,11,Medium
Login API timeout,26002,82,43,High
Memory usage elevated,592,68,3,Low
Search response degraded,7720,55,24,Medium
Regional service degradation,28421,83,24,High
Capacity report generated,0,9,0,Informational
Login API timeout,25854,87,27,High
Search response degraded,4773,60,11,Medium
Disk usage warning,1702,57,8,Low
Intermittent connection issues,5543,76,11,Medium
High error rate detected,7353,75,57,High
SSL expires in 10 days,0,39,0,Informational
Elevated latency observed,5160,68,18,Medium
Cache miss increase,4628,65,8,Medium
Login API timeout,28710,76,39,High
SSL expires in 10 days,0,12,0,Informational
Cache miss increase,2473,59,11,Medium
Production database down,20705,87,90,Critical
Cache miss increase,6277,57,16,Medium
Intermittent connection issues,5552,74,9,Medium
SSL expires in 10 days,0,41,0,Informational
CPU threshold warning,937,68,1,Low
Capacity report generated,0,20,0,Informational
Core API crash,40816,85,83,Critical
Disk usage warning,1501,60,7,Low
Login API timeout,27942,86,37,High
Backup delay detected,4,57,9,Low
Message queue backlog,4675,83,38,High
High error rate detected,7112,91,45,High
Search response degraded,9257,74,12,Medium
Memory usage elevated,922,47,6,Low
Disk usage warning,945,59,9,Low
Intermittent connection issues,2183,57,21,Medium
Capacity report generated,0,6,0,Informational
Elevated latency observed,8978,77,23,Medium
Routine maintenance notice,0,28,0,Informational
Disk usage warning,604,49,9,Low
Intermittent connection issues,7515,66,15,Medium
Search response degraded,7337,72,17,Medium
Routine maintenance notice,0,23,0,Informational
CPU threshold warning,684,62,4,Low
Elevated latency observed,1695,79,7,Medium
Disk usage warning,1311,64,6,Low
Core API crash,39389,97,50,Critical
Backup delay detected,1721,65,2,Low
Disk usage warning,258,69,2,Low
High error rate detected,10655,80,46,High
Capacity report generated,0,14,0,Informational
Intermittent connection issues,7163,78,28,Medium
Memory usage elevated,510,47,6,Low
Intermittent connection issues,9773,70,14,Medium
Memory usage elevated,46,56,4,Low
Monitoring alert review,0,32,0,Informational
Search response degraded,9391,80,26,Medium
Cache miss increase,5673,76,17,Medium
Backup delay detected,668,67,2,Low
Monitoring alert review,0,46,0,Informational
Monitoring alert review,0,49,0,Informational
Backup delay detected,1529,44,7,Low
Intermittent connection issues,4836,75,11,Medium
Memory usage elevated,578,47,2,Low
CPU threshold warning,819,46,2,Low
CPU threshold warning,1721,57,1,Low
Payment gateway unavailable,40252,91,83,Critical
SSL expires in 10 days,0,11,0,Informational
Memory usage elevated,231,39,3,Low
Routine maintenance notice,0,13,0,Informational
Login API timeout,14415,83,44,High
Routine maintenance notice,0,49,0,Informational
Core API crash,22419,93,83,Critical
High error rate detected,26890,79,46,High
Authentication service outage,84928,93,49,Critical
Intermittent connection issues,5745,62,17,Medium
Backup delay detected,1305,35,9,Low
SSL expires in 10 days,0,28,0,Informational
Authentication service outage,75506,86,93,Critical
Elevated latency observed,4881,60,15,Medium
Production database down,70504,96,59,Critical
Memory usage elevated,1664,71,8,Low
Elevated latency observed,3554,62,23,Medium
Disk usage warning,982,43,8,Low
Regional service degradation,26734,94,23,High
High error rate detected,17413,80,22,High
Payment gateway unavailable,10046,86,63,Critical
Disk usage warning,69,48,6,Low
Routine maintenance notice,0,12,0,Informational
Login API timeout,26241,80,52,High
Elevated latency observed,8282,56,7,Medium
Intermittent connection issues,7509,72,11,Medium
Disk usage warning,1008,56,7,Low
Elevated latency observed,3995,67,10,Medium
Regional service degradation,23290,95,24,High
Production database down,25866,87,49,Critical
SSL expires in 10 days,0,22,0,Informational
Monitoring alert review,0,11,0,Informational
Disk usage warning,897,71,3,Low
Monitoring alert review,0,48,0,Informational
Routine maintenance notice,0,13,0,Informational
High error rate detected,20713,94,31,High
Disk usage warning,1132,64,5,Low
Routine maintenance notice,0,36,0,Informational
Authentication service outage,14451,98,73,Critical
Intermittent connection issues,2971,63,15,Medium
Disk usage warning,1653,48,5,Low
Cache miss increase,3071,58,18,Medium
Elevated latency observed,5858,74,21,Medium
Production database down,10096,85,51,Critical
Monitoring alert review,0,34,0,Informational
Message queue backlog,27037,76,38,High
Cache miss increase,9387,69,6,Medium
High error rate detected,18815,84,27,High
Disk usage warning,428,70,0,Low
Login API timeout,14413,85,27,High
Regional service degradation,26227,78,32,High
Search response degraded,1025,70,13,Medium
Message queue backlog,19483,83,28,High
SSL expires in 10 days,0,46,0,Informational
Core API crash,19666,85,46,Critical
CPU threshold warning,243,42,8,Low
Disk usage warning,1639,62,5,Low
Routine maintenance notice,0,6,0,Informational
Search response degraded,3577,69,28,Medium
Cache miss increase,8158,82,9,Medium
Routine maintenance notice,0,27,0,Informational
Elevated latency observed,9723,83,14,Medium
Cache miss increase,6055,69,8,Medium
Search response degraded,2335,84,7,Medium
SSL expires in 10 days,0,31,0,Informational
Intermittent connection issues,4382,68,15,Medium
CPU threshold warning,1853,67,9,Low
Cache miss increase,3627,63,16,Medium
Elevated latency observed,4887,63,21,Medium
Elevated latency observed,3546,84,13,Medium
Intermittent connection issues,1399,64,9,Medium
Backup delay detected,778,69,2,Low
Cache miss increase,7677,70,11,Medium
Monitoring alert review,0,46,0,Informational
Disk usage warning,1337,74,0,Low
Monitoring alert review,0,22,0,Informational
Monitoring alert review,0,31,0,Informational
Authentication service outage,13468,99,77,Critical
Search response degraded,752,65,23,Medium
SSL expires in 10 days,0,27,0,Informational
Elevated latency observed,551,72,24,Medium
Cache miss increase,8848,84,14,Medium
Search response degraded,3068,75,9,Medium
Disk usage warning,993,43,5,Low
SSL expires in 10 days,0,48,0,Informational
Monitoring alert review,0,13,0,Informational
Backup delay detected,1756,58,3,Low
Production database down,82987,92,66,Critical
Intermittent connection issues,9830,76,20,Medium
Cache miss increase,4014,58,15,Medium
Core API crash,81528,88,86,Critical
Regional service degradation,11202,90,54,High
Core API crash,56841,92,65,Critical
Memory usage elevated,326,60,6,Low
Cache miss increase,6377,59,6,Medium
Cache miss increase,5461,82,10,Medium
Regional service degradation,8088,85,33,High
Authentication service outage,95259,87,62,Critical
CPU threshold warning,1948,44,0,Low
Backup delay detected,1742,70,6,Low
Search response degraded,4595,65,5,Medium
Elevated latency observed,9938,69,28,Medium
Payment gateway unavailable,73522,93,56,Critical
Routine maintenance notice,0,7,0,Informational
Monitoring alert review,0,42,0,Informational
Production database down,15384,85,85,Critical
Regional service degradation,17442,76,56,High
Intermittent connection issues,4273,78,16,Medium
Payment gateway unavailable,97188,89,57,Critical
Regional service degradation,10723,79,58,High
Authentication service outage,88058,86,78,Critical
SSL expires in 10 days,0,48,0,Informational
Routine maintenance notice,0,47,0,Informational
Message queue backlog,24486,81,41,High
Cache miss increase,9039,61,29,Medium
Backup delay detected,965,53,4,Low
Elevated latency observed,3935,60,14,Medium
Authentication service outage,16969,93,82,Critical
Search response degraded,9341,80,20,Medium
Production database down,24177,97,51,Critical
Monitoring alert review,0,14,0,Informational
Intermittent connection issues,9393,81,29,Medium
Regional service degradation,4326,82,26,High
Payment gateway unavailable,27561,87,71,Critical
Routine maintenance notice,0,29,0,Informational
Backup delay detected,403,55,8,Low
Memory usage elevated,1728,59,9,Low
Search response degraded,1360,69,10,Medium
Intermittent connection issues,9484,80,14,Medium
Disk usage warning,1080,51,1,Low
Search response degraded,6705,60,21,Medium
Cache miss increase,2672,78,23,Medium
Regional service degradation,28290,91,27,High
Authentication service outage,54788,92,68,Critical
Cache miss increase,4648,63,29,Medium
Intermittent connection issues,5040,82,15,Medium
Authentication service outage,63366,88,52,Critical
Memory usage elevated,101,58,9,Low
Elevated latency observed,9019,63,16,Medium
Core API crash,84000,95,75,Critical
Backup delay detected,856,53,6,Low
Monitoring alert review,0,33,0,Informational
Elevated latency observed,6794,78,21,Medium
Capacity report generated,0,21,0,Informational
Intermittent connection issues,8215,66,17,Medium
CPU threshold warning,919,56,2,Low
CPU threshold warning,262,50,1,Low
Disk usage warning,1494,43,8,Low
Regional service degradation,5989,77,58,High
High error rate detected,8337,83,31,High
Search response degraded,8886,76,24,Medium
Backup delay detected,350,65,3,Low
Cache miss increase,1900,66,11,Medium
Elevated latency observed,1709,76,18,Medium
Disk usage warning,139,51,4,Low
Memory usage elevated,1495,39,8,Low
Elevated latency observed,8295,63,11,Medium
Search response degraded,2175,61,16,Medium
Intermittent connection issues,2788,82,23,Medium
Search response degraded,3091,65,8,Medium
Intermittent connection issues,3378,80,14,Medium
Regional service degradation,23605,76,57,High
Intermittent connection issues,6608,55,26,Medium
Routine maintenance notice,0,32,0,Informational
Monitoring alert review,0,45,0,Informational
CPU threshold warning,921,65,0,Low
Authentication service outage,52948,92,67,Critical
Elevated latency observed,5897,77,18,Medium
Monitoring alert review,0,9,0,Informational
Login API timeout,24411,76,53,High
Capacity report generated,0,44,0,Informational
SSL expires in 10 days,0,19,0,Informational
Intermittent connection issues,3046,79,20,Medium
Routine maintenance notice,0,20,0,Informational
Intermittent connection issues,3314,61,9,Medium
Regional service degradation,4564,88,57,High
Search response degraded,8424,55,22,Medium
Regional service degradation,7737,79,52,High
Message queue backlog,27658,91,25,High
Backup delay detected,1628,51,2,Low
High error rate detected,29042,86,30,High
Cache miss increase,4608,75,11,Medium
Memory usage elevated,1543,58,3,Low
Monitoring alert review,0,14,0,Informational
Authentication service outage,61405,90,94,Critical
Payment gateway unavailable,28720,98,68,Critical
Backup delay detected,178,40,3,Low
Disk usage warning,743,44,1,Low
Regional service degradation,14071,84,39,High
Capacity report generated,0,33,0,Informational
Disk usage warning,1965,41,4,Low
Search response degraded,9271,57,11,Medium
Disk usage warning,1509,73,0,Low
Search response degraded,2405,60,9,Medium
Search response degraded,3249,60,24,Medium
Capacity report generated,0,41,0,Informational
Regional service degradation,10401,77,30,High
Login API timeout,28482,85,36,High
High error rate detected,25860,88,35,High
Payment gateway unavailable,24574,96,75,Critical
Disk usage warning,421,50,9,Low
SSL expires in 10 days,0,43,0,Informational
Regional service degradation,4364,93,54,High
Search response degraded,6379,71,23,Medium
Login API timeout,24082,78,57,High
Backup delay detected,882,37,8,Low
Cache miss increase,7575,56,25,Medium
Memory usage elevated,575,51,1,Low
High error rate detected,16577,89,40,High
Backup delay detected,790,68,7,Low
Monitoring alert review,0,16,0,Informational
CPU threshold warning,1355,45,5,Low
High error rate detected,24471,84,58,High
Backup delay detected,1835,41,9,Low
Elevated latency observed,6563,74,16,Medium
SSL expires in 10 days,0,9,0,Informational
Intermittent connection issues,8817,57,12,Medium
Memory usage elevated,765,59,9,Low
Monitoring alert review,0,18,0,Informational
Disk usage warning,673,44,6,Low
Backup delay detected,1659,72,0,Low
Message queue backlog,22221,81,42,High
Elevated latency observed,1024,68,13,Medium
Monitoring alert review,0,6,0,Informational
Elevated latency observed,9478,81,6,Medium
Memory usage elevated,515,55,8,Low
Memory usage elevated,1771,46,2,Low
Elevated latency observed,7903,78,11,Medium
High error rate detected,3733,82,58,High
Disk usage warning,1271,49,7,Low
Search response degraded,5023,58,16,Medium
CPU threshold warning,403,35,8,Low
Disk usage warning,699,73,5,Low
High error rate detected,29253,78,56,High
Monitoring alert review,0,19,0,Informational
High error rate detected,8717,77,23,High
High error rate detected,4925,76,59,High
Payment gateway unavailable,21928,92,85,Critical
Disk usage warning,1548,36,6,Low
Routine maintenance notice,0,33,0,Informational
Cache miss increase,7271,67,16,Medium
Search response degraded,4942,57,9,Medium
Backup delay detected,521,51,1,Low
Message queue backlog,25735,89,33,High
Memory usage elevated,1712,70,0,Low
Disk usage warning,615,65,2,Low
Memory usage elevated,1819,39,2,Low
Search response degraded,3253,65,18,Medium
CPU threshold warning,1220,41,6,Low
High error rate detected,21725,87,46,High
Memory usage elevated,148,65,4,Low
Elevated latency observed,1323,84,10,Medium
Cache miss increase,7557,78,10,Medium
Routine maintenance notice,0,29,0,Informational
Backup delay detected,945,56,4,Low
Memory usage elevated,1855,72,4,Low
Intermittent connection issues,6218,84,23,Medium
Production database down,56412,95,66,Critical
Routine maintenance notice,0,27,0,Informational
Cache miss increase,9640,70,16,Medium
High error rate detected,8856,78,23,High
Authentication service outage,48875,90,82,Critical
Memory usage elevated,64,43,5,Low
Login API timeout,28409,95,26,High
Disk usage warning,652,50,6,Low
Elevated latency observed,7716,59,10,Medium
Monitoring alert review,0,27,0,Informational
CPU threshold warning,1699,49,9,Low
Regional service degradation,10746,82,30,High
Regional service degradation,18726,90,59,High
SSL expires in 10 days,0,28,0,Informational
Memory usage elevated,1719,51,9,Low
High error rate detected,17270,89,53,High
Cache miss increase,4678,62,29,Medium
Monitoring alert review,0,45,0,Informational
Backup delay detected,538,36,3,Low
Search response degraded,5827,60,17,Medium
CPU threshold warning,816,62,7,Low
Elevated latency observed,3641,70,8,Medium
Regional service degradation,25964,95,37,High
Login API timeout,23502,95,42,High
Core API crash,38472,86,49,Critical
Backup delay detected,550,62,0,Low
Core API crash,62356,97,41,Critical
SSL expires in 10 days,0,11,0,Informational
Disk usage warning,889,61,4,Low
Production database down,82248,94,89,Critical
Authentication service outage,26074,93,89,Critical
Intermittent connection issues,1925,81,10,Medium
Disk usage warning,1449,42,5,Low
Monitoring alert review,0,27,0,Informational
Cache miss increase,5033,78,13,Medium
Regional service degradation,4241,77,34,High
CPU threshold warning,36,48,4,Low
Disk usage warning,1220,60,7,Low
Disk usage warning,1423,36,1,Low
Intermittent connection issues,6232,75,11,Medium
Core API crash,30123,93,65,Critical
Search response degraded,2178,59,25,Medium
Routine maintenance notice,0,14,0,Informational
Capacity report generated,0,5,0,Informational
Capacity report generated,0,47,0,Informational
Core API crash,78672,95,93,Critical
SSL expires in 10 days,0,48,0,Informational
Cache miss increase,1242,57,26,Medium
Backup delay detected,1229,54,4,Low
Intermittent connection issues,1959,74,23,Medium
Authentication service outage,75680,87,86,Critical
Intermittent connection issues,5343,71,12,Medium
SSL expires in 10 days,0,37,0,Informational
Cache miss increase,2160,66,10,Medium
Intermittent connection issues,9454,70,23,Medium
Message queue backlog,26208,88,35,High
Monitoring alert review,0,15,0,Informational
CPU threshold warning,1853,39,2,Low
Memory usage elevated,1974,56,1,Low
Authentication service outage,70678,97,58,Critical
Production database down,52777,96,81,Critical
Regional service degradation,12046,75,53,High
Elevated latency observed,8505,56,16,Medium
Routine maintenance notice,0,34,0,Informational
Production database down,89659,95,66,Critical
High error rate detected,7122,78,47,High
Authentication service outage,35793,91,47,Critical
Intermittent connection issues,4436,71,18,Medium
High error rate detected,3865,89,44,High
Elevated latency observed,6687,77,7,Medium
Production database down,32346,90,65,Critical
Cache miss increase,8197,55,14,Medium
Search response degraded,6138,59,5,Medium
Cache miss increase,3775,80,15,Medium
Payment gateway unavailable,80454,97,91,Critical
Core API crash,64124,88,82,Critical
Message queue backlog,24264,85,45,High
Monitoring alert review,0,49,0,Informational
Production database down,50044,99,70,Critical
Message queue backlog,12079,76,59,High
Payment gateway unavailable,50726,86,86,Critical
Search response degraded,5058,59,29,Medium
Search response degraded,1743,61,6,Medium
Monitoring alert review,0,16,0,Informational
Search response degraded,1361,71,15,Medium
Capacity report generated,0,27,0,Informational
Monitoring alert review,0,16,0,Informational
Intermittent connection issues,8665,59,16,Medium
High error rate detected,26097,93,35,High
Cache miss increase,9777,61,9,Medium
Search response degraded,795,67,14,Medium
Regional service degradation,21360,84,27,High
CPU threshold warning,526,55,3,Low
Elevated latency observed,7309,68,16,Medium
Search response degraded,8599,56,19,Medium
Login API timeout,27302,84,33,High
Authentication service outage,54514,93,46,Critical
Regional service degradation,23171,82,25,High
Backup delay detected,1873,44,6,Low
CPU threshold warning,1427,62,9,Low
Intermittent connection issues,2047,58,17,Medium
Cache miss increase,2190,68,20,Medium
Payment gateway unavailable,93491,94,54,Critical
Core API crash,19742,96,53,Critical
Message queue backlog,3885,82,31,High
Message queue backlog,13222,83,35,High
Elevated latency observed,3615,64,7,Medium
Payment gateway unavailable,28190,89,81,Critical
Routine maintenance notice,0,46,0,Informational
Cache miss increase,5552,82,12,Medium
Disk usage warning,1529,64,8,Low
SSL expires in 10 days,0,24,0,Informational
Memory usage elevated,1612,65,3,Low
